Tx
BCL2_SV
BCL6_SV
MYC_BCL6
MYC_IGH
MYC_IGK
MYC_IGL
MYC_OTHER
CIITA_SV
ETV6_SV   
FCGR2B_SV 
FOXP1_SV
IRF4_SV
MIR17HG_SV
