aSHM
BACH2-TSS
BCL2-intronic
BCL2-TSS
BCL6-TSS
BCL7A-TSS
BIRC3-TSS
BTG2-intronic
CIITA-TSS
DTX1-TSS
EBF1-TSS
IL4R-TSS
IRF8-TSS
ITPKB-TSS
LRMP-TSS
MIR155HG-TSS
MS4A1-TSS
MYO1E-TSS
P2RX5-TSS
PAX5-distal-enhancer-1
PAX5-TSS-2
PIM2-TSS
POU2AF1-TSS
RFTN1-TSS
RHOH-TSS
S1PR2-TSS
SEPT9-intronic
SGK1-TSS-1
ST6GAL1-intronic-2
ST6GAL1-TSS-2
ZCCHC7-intron-1
ZFP36L1-TSS
TCL1A-TSS
TMSB4X-intronic
BLK-TSS
C13orf18-TSS
CD44-TSS
CD83-TSS
IRF4-TSS
PIM1-TSS
CXCR4-intronic
IRF1-TSS
KLF2-TSS
MYC-TSS
CD74-TSS
ETV6-TSS
FOXP1-TSS-3
BCL2L11-TSS
NCOA3-TSS
ACTB-TSS
BTG1-TSS
SERPINA9-TSS
FOXP1-TSS-4
PTPN1-TSS
GRHPR-TSS
FOXP1-TSS-1
FOXP1-intron-1b
