	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
X9Q21.13.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.11090909090909092	0.08196721311475409	0.6065573770491803	0.016393442622950817	0.04918032786885246	0.24590163934426226	0.00909090909090909	0.06727272727272728	0.0018181818181818182	0.005454545454545455	0.02727272727272727	5	109	37	90	1	94	3	72	15	124	5	37	1	3	15
X16Q12.1.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.10363636363636365	0.08771929824561402	0.6491228070175438	0.08771929824561402	0.08771929824561402	0.08771929824561402	0.00909090909090909	0.06727272727272728	0.00909090909090909	0.00909090909090909	0.00909090909090909	5	109	37	90	5	90	5	70	5	134	5	38	5	5	5
X2Q22.2.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.10727272727272727	0.06779661016949153	0.6101694915254238	0.05084745762711865	0.1016949152542373	0.1694915254237288	0.007272727272727273	0.06545454545454546	0.005454545454545455	0.01090909090909091	0.01818181818181818	4	110	36	91	3	92	6	69	10	129	4	36	3	6	10
X8Q12.1.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.12545454545454546	0.08695652173913045	0.463768115942029	0.04347826086956522	0.07246376811594202	0.3333333333333333	0.01090909090909091	0.05818181818181818	0.005454545454545455	0.00909090909090909	0.04181818181818182	6	108	32	95	3	92	5	70	23	116	6	33	3	5	23
X5P.AMP	C2	3.594558649008105e-05	9.99990000099999e-06	0.14727272727272728	0.35802469135802467	0.38271604938271603	0.13580246913580246	0.04938271604938271	0.07407407407407408	0.05272727272727273	0.056363636363636366	0.02	0.007272727272727273	0.01090909090909091	29	85	31	96	11	84	4	71	6	133	31	35	11	5	6
X19P13.2.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.11636363636363636	0.04687500000000001	0.46875	0.0625	0.078125	0.34375	0.005454545454545455	0.05454545454545454	0.007272727272727273	0.00909090909090909	0.04	3	111	30	97	4	91	5	70	22	117	3	32	4	5	22
X13Q34.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.09999999999999999	0.018181818181818184	0.4909090909090909	0.2545454545454546	0.09090909090909091	0.14545454545454548	0.0018181818181818182	0.04909090909090909	0.025454545454545455	0.00909090909090909	0.014545454545454545	1	113	27	100	14	81	5	70	8	131	1	29	14	5	8
X10Q23.31.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.10363636363636364	0.052631578947368425	0.45614035087719296	0.2631578947368421	0.14035087719298245	0.08771929824561403	0.005454545454545455	0.04727272727272727	0.02727272727272727	0.014545454545454545	0.00909090909090909	3	111	26	101	15	80	8	67	5	134	3	27	17	8	6
X12P13.2.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.07818181818181819	0.046511627906976744	0.5813953488372093	0.09302325581395349	0.046511627906976744	0.2325581395348837	0.0036363636363636364	0.045454545454545456	0.007272727272727273	0.0036363636363636364	0.01818181818181818	2	112	25	102	4	91	2	73	10	129	2	25	4	2	10
X3Q28.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.08	0.3409090909090909	0.45454545454545453	0.0	0.11363636363636363	0.09090909090909091	0.02727272727272727	0.03636363636363636	0.0	0.00909090909090909	0.007272727272727273	15	99	20	107	0	95	5	70	4	135	16	22	0	5	4
X12P.AMP	C2	6.56783555621234e-05	1.999980000199998e-05	0.1890909090909091	0.10576923076923077	0.2980769230769231	0.2692307692307692	0.20192307692307696	0.125	0.02	0.056363636363636366	0.05090909090909091	0.038181818181818185	0.023636363636363636	11	103	31	96	28	67	21	54	13	126	11	31	28	21	13
